,인기순위,이름,영문이름,종류,나라,생산지,제조사,포도품종,알코올도수,가격,평점,산도,당도,바디감,탄닌,주소,추천순위,구매가능여부
0,1,푸나무 소비뇽블랑,POUNAMU SAUVIGNON BLANC,White,뉴질랜드,말보로,리틀뷰티 (Little Beauty),소비뇽블랑 (Sauvignon Blanc) 100%,13.0,32000,4.0,4,0,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1521,323,구매 예약
1,2,시모네 페브르 크레망 드 부르고뉴 브뤼,SIMONNET FEBVRE CREMANT DE BOURGOGNE BRUT,Sparkling,프랑스,부르고뉴,시모네 페브르,"샤르도네(Chardonnay) 60%, 피노 누아(Pinot Noir) 40%",12.5,32000,3.7,3,1,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1309,480,구매 예약
2,3,아발론 카베르네소비뇽,AVALON CALIFORNIA,Red,미국,캘리포니아,아발론 와이너리,"까베르네 소비뇽 (Cabernet Sauvignon) 76%, 시라 (Syrah) 13%,진판델 (Zinfandel) 7%, 메를로 (Merlot) 4%",13.8,24900,3.5,3,1,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=617,514,구매 예약
3,4,더 프리즈너,The Prisoner,Red,미국,나파 밸리,더 프리즈너 와인 컴퍼니,"진판델 (Zinfandel) 44%, 까베르네 소비뇽 (Cabernet Sauvignon) 20%, 쁘띠 시라 (Petite Syrah) 16%, 샤르보노 (Charbono) 2%",13.9,120000,4.4,4,1,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=1929,482,구매 불가
4,5,이자디 엘 레갈로,IZADI EL REGALO,Red,스페인,리오하,보데가스 이자디 (Bodegas Izadi),"템프라니요 (Tempranillo) 90%, 가르나차 (Garnacha), 그라시아노 (Graciano), 마주엘로 (Mazuelo) 10%",14.1,77000,4.0,3,0,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1357,155,구매 불가
5,6,파이퍼 하이직 뀌베 브뤼,PIPER HEIDSIECK CUVEE BRUT,Champagne,프랑스,샴페인,파이퍼 하이직,"피노 누아 (Pinot Noir), 피노 므니에 (Pinot Meunier)",12.0,75000,4.0,3,1,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1145,372,구매 불가
6,7,빌라 안티노리 키안티 클라시코 리제르바,VILLA ANTINORI CHIANTI CLASSICO RISERVA,Red,이탈리아,"토스카나, 키안티 클라시코",안티노리,"산지오베제 90%, 카베르네 소비뇽 10%",14.0,39000,4.0,3,0,3,4,https://www.winenara.com/goods/goods_view.php?goodsNo=1240,117,구매 불가
7,8,톨퍼들 빈야드 샤르도네,TOLPUDDLE VINEYARD CHARDONNAY,White,호주,"호주, 타스매니아",SHAW AND SMITH,샤르도네(CHARDONNAY) 100%,12.5,100000,4.2,3,0,4,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2752,54,구매 불가
8,9,프루노토 모스카토 다스티,PRUNOTTO MOSCATO D'ASTI,Sparkling,이탈리아,"피에몬테, 아스티","프루노토, 안티노리",까넬리 모스카토 비앙코(Canelli Moscato Bianco) 100%,5.0,25000,4.0,1,5,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=985,444,구매 불가
9,10,게르겐티 일 베로 시칠리아노,GERGENTI IL VERO SICILIANO,Red,이탈리아,시칠리아,쉥크 이탈리아,"네로다볼라, 네넬로 마스칼레제, 프라파토",15.0,29000,4.0,3,1,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1798,474,구매 예약
10,11,페폴리 키안티 클라시코,PEPPOLI CHIANTI CLASSICO,Red,이탈리아,"토스카나, 키안티 클라시코",안티노리,"산지오베제(Sangiovese) 90%, 메를로(Merlot), 시라(Syrah) 10%",13.0,48000,3.8,4,0,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=498,609,구매 예약
11,12,롱 클라우드 리저브 말보로 소비뇽 블랑,LONG CLOUD RESERVE MARLBOROUGH SAUVIGNON BLANC,White,뉴질랜드,말보로,롱 클라우드 ( Long Cloud ),소비뇽블랑 (Sauvignon Blanc) 100%,12.0,24000,3.8,3,0,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1599,236,구매 예약
12,13,산타 크리스티나 브뤼,SANTA CRISTINA BRUT,Sparkling,이탈리아,롬바르디아 & 트렌티노,산타 크리스티나 / 안티노리 (Santa Cristina / Antinori),"샤르도네 (Chardonnay), 피노 블랑 (Pinot Blanc), 피노 누아 (Pinot Noir",12.5,33000,3.6,3,1,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1354,174,구매 예약
13,14,루이 라뚜르 피노누아,LOUIS LATOUR PINOT NOIR,Red,프랑스,부르고뉴,루이 라뚜르,피노 누아 (Pinot Noir) 100%,13.0,48000,3.6,3,0,2,2,https://www.winenara.com/goods/goods_view.php?goodsNo=493,630,구매 예약
14,15,마니피코 푸오코 로쏘 리제르바,MAGNIFICO FUOCO ROSSO RISERVA,Red,이탈리아,"풀리아, 만두리아",까사 비니꼴라 보테 카를로,프리미티보,14.5,25000,3.9,3,1,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=1816,99,구매 예약
15,16,카사 마르텔레티 모스카토 다스티,CASA MARTELLETTI MOSCATO D'ASTI,Sparkling,이탈리아,"이태리, 피에몬테, 아스티",펠리노 (Perlino S.p.A),모스카토(Moscato),5.5,15000,4.0,1,4,1,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1601,173,구매 불가
16,17,펠리노 모스카토,PERLINO MOSCATO,Sparkling,이탈리아,피에몬테 (Piemonte),펠리노 (Perlino S.p.A),모스카토 (Muscato) 100%,6.5,12900,3.9,2,4,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1522,92,구매 불가
17,18,티렐 헌터 세미용,TYRRELL HUNTER SEMILLON,White,호주,"뉴사우스 웨일즈, 헌터밸리 (Hunter Valley)",티렐스 와인 (Tyrrell’s Wines),세미용 (Semillon) 100%,11.5,60000,3.6,3,0,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1587,573,구매 예약
18,19,빌라 엠 썸,VILLA M SOME,Rose,이탈리아,이탈리아,지아니 갈리아르도 (Gianni Galiardo),브라케토 (Brachetto) 100%,3.0,18000,3.4,1,4,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1676,115,구매 불가
19,20,아발론 나파밸리,AVALON NAPA VALLEY,Red,미국,"캘리포니아, 노스 코스트, 나파 밸리",아발론 와이너리,"까베르네 소비뇽 (Cabernet Sauvignon) 80%, 메를로 (Merlot) 16%까베르네 프랑 (Cabernet Franc) 4%",13.9,42000,3.7,3,1,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=970,483,구매 예약
20,21,글로리오소 리오하 크리안자,GLORIOSO RIOJA CRIANZA,Red,스페인,리오하,보데가스 팔라치오,템프라니요(Tempranillo) 100%,13.5,25000,3.6,3,1,2,2,https://www.winenara.com/goods/goods_view.php?goodsNo=1183,318,구매 예약
21,22,샤삐옹 뀌베 폴,CHAPILLON CUVEE PAUL,Red,스페인,"아라곤, 카라타유드",샤삐옹,가르나차 100%,14.5,26000,3.6,3,0,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1721,518,구매 예약
22,23,루이 라뚜르 샤르도네,LOUIS LATOUR CHARDONNAY,White,프랑스,부르고뉴,루이 라뚜르,샤르도네 (Chardonnay) 100%,13.0,35000,3.7,3,0,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=492,638,구매 불가
23,24,리틀 뷰티 소비뇽 블랑,LITTLE BEAUTY SAUVIGNON BLANC,White,뉴질랜드,"뉴질랜드,말보로",리틀 뷰티,소비뇽 블랑 (Sauvignon Blanc) 100%,13.6,49000,4.2,3,0,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1226,265,구매 불가
24,25,산타 크리스티나,SANTA CRISTINA ROSSO IGT,Red,이탈리아,토스카나,산타 크리스티나,"산지오베제(Sangiovese) 60%, 까베르네 소비뇽(Cabernet Sauvignon),메를로(Merot), 시라(Syrah) 40%",13.0,19900,3.6,3,0,3,4,https://www.winenara.com/goods/goods_view.php?goodsNo=799,140,구매 예약
25,26,캔달잭슨 빈트너스 리저브 피노누아,KENDALL JACKSON VINTNER`S RESERVE PINOT NOIR,Red,미국,"미국, 캘리포니아",잭슨 패밀리 와인,피노누아(PINOT NOIR) 100%,14.5,45000,3.7,3,0,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2668,659,구매 예약
26,27,리치텔리 헤이 말벡,RICCITELLI HEY MALBEC,Red,아르헨티나,"Uco Valley, Lujan de Cuyo",리치텔리 (Matías Riccitelli),말벡 (Malbec) 100%,14.5,25000,3.7,2,1,4,2,https://www.winenara.com/goods/goods_view.php?goodsNo=2576,341,구매 불가
27,28,보헤미안,BOHEMIAN,Red,이탈리아,피에몬테,까사 비니꼴라 깔디롤라,람부르스코,10.0,7900,2.5,2,3,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1833,543,구매 예약
28,29,콘투고,GUADO AL TASSO CONT'UGO,Red,이탈리아,"토스카나, 볼게리",안티노리 (Antinori),메를로 (Merlot) 100%,14.5,80000,4.2,3,0,3,4,https://www.winenara.com/goods/goods_view.php?goodsNo=1635,572,구매 예약
29,30,닥터루젠 블루 슬레이트 리슬링 드라이,DR. LOOSEN BLUE SLATE RIESLING DRY,White,독일,"독일, 모젤",WEINGUT DR. LOOSEN,리슬링 (RIESLING) 100%,12.0,27000,3.9,4,1,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2607,33,구매 불가
