,이름,금액,페어링,주소,영문이름,나라,생산지,제조사,포도품종,알코올도수,평점,종류,산미,당도,바디감,탄닌,인기순위,추천순위,구매가능여부,이미지주소,평점지수
0,아발론 카베르네소비뇽,24900,"강황/쿠민, 그릴/바베큐, 소고기/양고기",https://www.winenara.com/shop/product/product_view?product_cd=03H631,AVALON CALIFORNIA,미국,캘리포니아,아발론 와이너리,"까베르네 소비뇽 (Cabernet Sauvignon) 76%, 시라 (Syrah) 13%,진판델 (Zinfandel) 7%, 메를로 (Merlot) 4%",13.8,3.5,레드,3,1,3,3,3,514,구매 예약,https://www.winenara.com/uploads/product/550/617_detail_06.png,4.374586494
1,이자디 엘 레갈로,77000,"파슬리, 계피/바닐라, 강황/쿠민, 고소한치즈, 감칠맛치즈, 양파/마늘, 표고버섯/느타리버섯, 훈제, 돼지고기/닭고기, 소고기/양고기, 바비큐/데리야키",https://www.winenara.com/shop/product/product_view?product_cd=03M836,IZADI EL REGALO,스페인,리오하,보데가스 이자디 (Bodegas Izadi),"템프라니요 (Tempranillo) 90%, 가르나차 (Garnacha), 그라시아노 (Graciano), 마주엘로 (Mazuelo) 10%",14.1,4,레드,3,0,4,3,5,155,구매 불가,https://www.winenara.com/uploads/product/550/1357_detail_039.png,4.870867464
2,빌라 안티노리 키안티 클라시코 리제르바,39000,"파슬리, 계피/바닐라, 강황/쿠민, 고소한치즈, 감칠맛치즈, 양파/마늘, 표고버섯/느타리버섯, 훈제, 돼지고기/닭고기, 소고기/양고기, 바비큐/데리야키",https://www.winenara.com/shop/product/product_view?product_cd=03J244,VILLA ANTINORI CHIANTI CLASSICO RISERVA,이탈리아,"토스카나, 키안티 클라시코",안티노리,"산지오베제 90%, 카베르네 소비뇽 10%",14,4,레드,3,0,3,4,7,117,구매 불가,https://www.winenara.com/uploads/product/550/1240_detail_051.png,4.867148434
4,프루노토 모스카토 다스티,22000,버터맛치즈,https://www.winenara.com/shop/product/product_view?product_cd=04B685,PRUNOTTO MOSCATO D'ASTI,이탈리아,"피에몬테, 아스티","프루노토, 안티노리",까넬리 모스카토 비앙코(Canelli Moscato Bianco) 100%,5,4,스파클링,1,5,2,0,9,444,구매 불가,https://www.winenara.com/uploads/product/550/985_detail_064.png,4.863429403
5,게르겐티 일 베로 시칠리아노,29000,"강황/쿠민, 그릴/바베큐, 소고기/양고기",https://www.winenara.com/shop/product/product_view?product_cd=03Q422,GERGENTI IL VERO SICILIANO,이탈리아,시칠리아,쉥크 이탈리아,"네로다볼라, 네넬로 마스칼레제, 프라파토",15,4,레드,3,1,4,3,10,474,구매 예약,https://www.winenara.com/uploads/product/550/1798_detail_063.png,4.861569888
6,페폴리 키안티 클라시코,35000,"파슬리, 계피/바닐라, 강황/쿠민, 고소한치즈, 감칠맛치즈, 양파/마늘, 표고버섯/느타리버섯, 훈제, 돼지고기/닭고기, 소고기/양고기, 바비큐/데리야키",https://www.winenara.com/shop/product/product_view?product_cd=03Q712,PEPPOLI CHIANTI CLASSICO,이탈리아,"토스카나, 키안티 클라시코",안티노리,"산지오베제(Sangiovese) 90%, 메를로(Merlot), 시라(Syrah) 10%",13,3.8,레드,4,0,3,3,11,609,구매 예약,https://www.winenara.com/uploads/product/550/498_detail_081.png,4.659710373
7,루이 라뚜르 피노누아,48000,"파슬리, 계피/바닐라, 강황/쿠민, 고소한치즈, 감칠맛치즈, 양파/마늘, 표고버섯/느타리버섯, 훈제, 돼지고기/닭고기, 소고기/양고기, 바비큐/데리야키",https://www.winenara.com/shop/product/product_view?product_cd=03H965,LOUIS LATOUR PINOT NOIR,프랑스,부르고뉴,루이 라뚜르,피노 누아 (Pinot Noir) 100%,13,3.6,레드,3,0,2,2,14,630,구매 예약,https://www.winenara.com/uploads/product/550/493_detail_025.png,4.454131827
8,마니피코 푸오코 리제르바,29000,"강황/쿠민, 그릴/바베큐, 소고기/양고기",https://www.winenara.com/shop/product/product_view?product_cd=03N408,MAGNIFICO FUOCO ROSSO RISERVA,이탈리아,"풀리아, 만두리아",까사 비니꼴라 보테 카를로,프리미티보,14.5,3.9,레드,3,1,4,4,15,99,구매 예약,https://www.winenara.com/uploads/product/550/1816_detail_010.png,4.752272312
9,카사 마르텔레티 모스카토 다스티,16900,버터맛치즈,https://www.winenara.com/shop/product/product_view?product_cd=02A611,CASA MARTELLETTI MOSCATO D'ASTI,이탈리아,"이태리, 피에몬테, 아스티",펠리노 (Perlino S.p.A),모스카토(Moscato),5.5,4,스파클링,1,4,1,0,16,173,구매 불가,https://www.winenara.com/uploads/product/550/1601_detail_066.png,4.850412797
10,펠리노 모스카토,10900,버터맛치즈,https://www.winenara.com/shop/product/product_view?product_cd=02A542,PERLINO MOSCATO,이탈리아,피에몬테 (Piemonte),펠리노 (Perlino S.p.A),모스카토 (Muscato) 100%,6.5,3.9,스파클링,2,4,2,0,17,92,구매 불가,https://www.winenara.com/uploads/product/550/1522_detail_054.png,4.748553282
